Name;Kbps;Energy_1;Energy_2;Energy_3;Peak_hist_1;Peak_hist_2;Peak_hist_3;Mood
 AC/DC - High Voltage ;128;10611.061;19708.36;19178.224;4;6;5;excited
 AC/DC - She's Got Balls ;128;14171.65;14586.05;13383.98;5;4;3;excited
 AC/DC - Little Lover ;128;17748.725;10738.085;13033.86;7;0;0;excited
 AC/DC - Can I Sit Next To You Girl ;128;14070.077;17295.509;12486.436;5;0;0;excited
 AC/DC - T.N.T.;128;17330.848;17909.559;15444.27;6;0;0;excited
 AC/DC - Live Wire ;128;9540.448;17265.133;15608.376;5;0;0;excited
 AC/DC - The Jack ;128;17867.793;13859.642;13390.116;6;1;1;happy
 AC/DC - Rock 'n' Roll Singer ;128;14482.523;14440.461;12230.537;4;3;0;happy
 AC/DC - It's A Long Way To The Top ;128;18945.598;11905.164;16058.653;5;2;1;excited
 AC/DC - Baby, Please Don't Go ;128;12708.392;13664.793;11674.59;4;3;2;excited
 AC/DC - Back In Black ;192;15564.624;23282.258;15735.063;5;4;5;excited
 AC/DC - Highway To Hell ;192;13791.104;23222.318;18626.062;5;7;0;excited
 Aephanemer - Alive ;270;24001.125;35816.372;29765.951;7;9;8;excited
 Aephanemer - Who You Really Are ;287;13410.293;22542.175;20542.373;5;5;6;excited
 Aephanemer - Path of the Wolf ;276;17117.65;28369.785;17963.84;5;8;6;excited
 Aephanemer - Inner Storm ;278;22731.558;30136.595;21338.826;7;8;7;excited
 Aephanemer - Dreams ;276;21895.59;29964.313;21328.687;7;8;6;happy
 Aephanemer - Resilience ;245;34601.496;32093.064;8264.14;9;8;1;excited
 Amorphis - Two Moons ;320;24046.613;25735.67;19394.964;6;6;5;excited
 Amorphis - House Of Sleep ;320;19794.167;25814.31;26122.285;5;9;9;excited
 Apocalyptica - Worlds Collide ;320;22722.119;25782.087;24009.888;8;0;0;sad
 Apocalyptica - Grace ;320;23602.142;26250.401;22191.489;7;9;8;sad
 Apocalyptica - I'm Not Jesus ;320;21760.471;28170.556;19078.653;6;9;6;sad
 Apocalyptica - Ion ;320;22446.4;26090.896;24259.13;7;9;8;sad
 Apocalyptica - Burn ;320;34874.827;26235.354;18311.174;9;0;0;sad
 Apocalyptica - SOS  ;320;24931.98;27852.945;25031.264;7;0;7;sad
 Apocalyptica - Peace ;320;22504.033;22612.869;22561.947;7;8;7;sad
 Bee Gees - Night Fever ;320;23372.914;23244.226;19836.479;8;0;0;happy
 Bee Gees - Secret Love ;320;27802.633;24293.141;21424.522;8;8;7;happy
Beeges - To love somebody;320;20524.184;22774.082;20916.831;7;0;0;sad
 BEE GEES - TRAGEDY ;320;27997.139;21804.348;19741.68;8;0;0;excited
 Bee Gees - Words ;128;23807.239;16109.978;12632.497;6;4;5;sad
 Bee Gees - You Win Again ;128;18478.134;15603.043;9772.741;5;5;2;happy
 Bee Gees - Above And Beyond ;128;19297.159;20470.084;8855.037;5;0;0;happy
 Beegees - Alone  ;160;13683.822;13509.418;9488.653;4;2;4;happy
 Bee Gees - Don't Forget To Remember ;128;9089.611;13408.3;10345.41;4;3;4;happy
 Bee Gees - More Than A Woman ;179;17955.727;16336.399;5439.259;7;0;0;happy
;128;18382.358;11990.47;11460.638;4;0;0;
 Caravan Palace - Star Scat ;128;9857.768;17016.69;14364.99;4;6;5;happy
 Caravan Palace - Ended With The Night ;128;19956.039;10303.831;10122.822;0;0;0;sad
 Caravan Palace - Jolie Coquine ;128;21004.259;18910.24;13093.02;6;0;5;excited
 Caravan Palace - Oooh ;320;16622.398;22237.832;12127.022;0;6;0;sad
 Caravan Palace - Suzy ;320;14269.795;14769.86;10134.24;6;5;0;excited
 Caravan Palace - Je M'amuse ;320;17045.897;11081.14;2387.898;5;0;0;happy
 Caravan Palace - Violente Valse ;320;12603.031;18061.496;7553.189;0;5;0;happy
 Caravan Palace - Brotherswing ;320;18449.793;16824.659;4753.186;0;0;0;excited
 Caravan Palace - L'envol ;320;13056.147;18155.163;11798.225;5;5;5;happy
 Caravan Palace - Sofa ;320;15862.587;17509.399;7803.858;7;2;0;sad
 Caravan Palace - Bambous ;320;20612.949;23639.642;10621.082;0;0;0;excited
 Caravan Palace - Lazy Place ;320;18478.118;21728.288;12252.178;0;6;5;happy
 Caravan Palace - We Can Dance ;320;23852.927;24308.257;12146.952;8;0;0;excited
 Caravan Palace - La Caravane ;320;23460.394;17904.533;11146.249;0;0;3;excited
 Caravan Palace - Dragons ;320;14245.417;15881.916;7716.869;3;4;3;excited
 Caravan Palace - Queens ;320;16002.053;17680.708;6863.519;0;0;0;sad
 Caravan Palace - Maniac ;320;21854.292;19636.152;16222.439;7;6;0;excited
 Caravan Palace - The Dirty Side Of The Street ;320;13338.285;16718.479;4723.167;0;0;3;excited
 Caravan Palace - 12 Juin 3049 ;320;20934.487;19629.667;9999.791;8;0;0;happy
